"geoid","name","other","personal","property","crime_other","crime_personal","crime_property","crime_all","population","density","median_income","unemployed","education"
"060372095202","Block Group 2, Census Tract 2095.20, Los Angeles County, California",2,60,40,202.224469160768453,6066.7340748230535895,4044.4893832153690597,10313.447927199191,989,10885.8431694623,12513,0.0959595959595959596,0.658841940532081
"060372671002","Block Group 2, Census Tract 2671, Los Angeles County, California",5,35,62,558.6592178770949721,3910.6145251396648045,6927.3743016759776536,11396.648044692737,895,3116.87856514618,66147,0.02606310013717421125,0.876595744680851
"060372123061","Block Group 1, Census Tract 2123.06, Los Angeles County, California",17,15,0,1077.3130544993662864,950.5703422053231939,0,2027.8833967046894804,1578,19036.7216952862,15454,0.08647450110864745011,0.730514096185738
"060371173011","Block Group 1, Census Tract 1173.01, Los Angeles County, California",17,32,0,1380.9910641754670999,2599.512591389114541,0,3980.5036555645816409,1231,2243.20047790233,37639,0.0300618921308576481,0.947939262472885
"060371953003","Block Group 3, Census Tract 1953, Los Angeles County, California",3,23,49,189.993666877770741,1456.6181127295756808,3103.2298923369221026,4749.8416719442685244,1579,6294.07210592904,37033,0.08321775312066574202,0.897147147147147
"060371907002","Block Group 2, Census Tract 1907, Los Angeles County, California",1,57,52,145.5604075691411936,8296.9432314410480349,7569.141193595342067,16011.644832605531,687,4497.76861447895,18447,0.01929260450160771704,0.779816513761468
"060371897011","Block Group 1, Census Tract 1897.01, Los Angeles County, California",1,10,15,109.0512540894220284,1090.5125408942202835,1635.7688113413304253,2835.3326063249727372,917,2401.79006310349,57815,0.01741293532338308458,1
"060372723022","Block Group 2, Census Tract 2723.02, Los Angeles County, California",6,22,30,314.1361256544502618,1151.8324607329842932,1570.6806282722513089,3036.6492146596858639,1910,9637.167189690381,32514,0.03524492234169653524,0.859313077939234
"060371836102","Block Group 2, Census Tract 1836.10, Los Angeles County, California",9,63,70,427.1476032273374466,2990.0332225913621262,3322.2591362126245847,6739.4399620313241576,2107,8916.849242692069,14683,0.14434250764525993884,0.575606276747504
"060371230202","Block Group 2, Census Tract 1230.20, Los Angeles County, California",6,56,67,361.4457831325301205,3373.4939759036144578,4036.144578313253012,7771.0843373493975904,1660,5670.13525395166,14947,0.15262321144674085851,0.602642276422764
"060371343041","Block Group 1, Census Tract 1343.04, Los Angeles County, California",4,78,94,299.8500749625187406,5847.0764617691154423,7046.4767616191904048,13193.403298350825,1334,4662.14269651233,15832,0.07865168539325842697,0.911795961742827
"060371316002","Block Group 2, Census Tract 1316, Los Angeles County, California",31,34,0,2594.1422594142259414,2845.1882845188284519,0,5439.3305439330543933,1195,3182.95159334868,25128,0.08945386064030131827,0.857300884955752
"060371048102","Block Group 2, Census Tract 1048.10, Los Angeles County, California",3,32,43,250,2666.6666666666666667,3583.3333333333333333,6500,1200,3037.61296814682,10305,0.08802308802308802309,0.563025210084034
"060371433003","Block Group 3, Census Tract 1433, Los Angeles County, California",2,23,54,156.6170712607674236,1801.096319498825372,4228.6609240407204385,6186.3743148003132341,1277,4478.21034652121,47768,0.08413926499032882012,0.983854692230071
"060371380003","Block Group 3, Census Tract 1380, Los Angeles County, California",2,23,38,126.502213788741303,1454.7754585705249842,2403.5420619860847565,3984.8197343453510436,1581,2106.23079236271,44657,0.05882352941176470588,0.96198347107438
"060371393031","Block Group 1, Census Tract 1393.03, Los Angeles County, California",5,81,61,184.9796522382537921,2996.6703662597114317,2256.7517573066962634,5438.4017758046614872,2703,9579.240054865721,24851,0.11095238095238095238,0.947997919916797
"060371283021","Block Group 1, Census Tract 1283.02, Los Angeles County, California",2,28,34,69.2760651195012123,969.8649116730169726,1177.6931070315206096,2216.8340838240387946,2887,5212.22308859957,13603,0.08236434108527131783,0.789274447949527
"060372962103","Block Group 3, Census Tract 2962.10, Los Angeles County, California",4,25,33,391.772771792360431,2448.5798237022526934,3232.1253672869735553,6072.4779627815866797,1021,7330.99231409625,12536,0.19692737430167597765,0.566326530612245
"060372376003","Block Group 3, Census Tract 2376, Los Angeles County, California",21,24,0,2941.1764705882352941,3361.3445378151260504,0,6302.5210084033613445,714,4558.66995972645,14875,0.09381663113006396588,0.522255192878338
"060372396021","Block Group 1, Census Tract 2396.02, Los Angeles County, California",2,69,60,109.0512540894220284,3762.2682660850599782,3271.5376226826608506,7142.8571428571428571,1834,11896.2899299777,10805,0.13691376701966717095,0.462151394422311
"060372407003","Block Group 3, Census Tract 2407, Los Angeles County, California",25,39,0,1230.9207287050713934,1920.2363367799113737,0,3151.1570654849827671,2031,7131.45176538134,11859,0.08475836431226765799,0.579055441478439
"060376200013","Block Group 3, Census Tract 6200.01, Los Angeles County, California",5,0,0,272.3311546840958606,0,0,272.3311546840958606,1836,4314.86256565141,39331,0.05790500975927130774,0.964
"060379302001","Block Group 1, Census Tract 9302, Los Angeles County, California",1,0,0,294.1176470588235294,0,0,294.1176470588235294,340,19.0345177939022,38418,0.03870967741935483871,0.851063829787234
"060372170021","Block Group 1, Census Tract 2170.02, Los Angeles County, California",1,18,46,45.3103760761214318,815.5867693701857725,2084.2772995015858632,2945.1744449478930675,2207,11932.8336884848,47273,0.04443194600674915636,0.970719287078294
"060372170022","Block Group 2, Census Tract 2170.02, Los Angeles County, California",7,43,21,493.3051444679351656,3030.303030303030303,1479.9154334038054968,5003.5236081747709655,1419,8846.154324565639,27250,0.07163531114327062229,0.957142857142857
"060372164011","Block Group 1, Census Tract 2164.01, Los Angeles County, California",3,83,58,150.3006012024048096,4158.3166332665330661,2905.811623246492986,7214.4288577154308617,1996,10479.4151037006,30810,0.04253968253968253968,0.962886597938144
"060372164012","Block Group 2, Census Tract 2164.01, Los Angeles County, California",9,74,101,314.6853146853146853,2587.4125874125874126,3531.4685314685314685,6433.5664335664335664,2860,13029.4047299146,40560,0.03830480847595762021,0.911807228915663
"060372164021","Block Group 1, Census Tract 2164.02, Los Angeles County, California",24,31,0,1518.0265654648956357,1960.7843137254901961,0,3478.8108791903858318,1581,14441.2763215937,46441,0.11530815109343936382,0.821259842519685
"060374809011","Block Group 1, Census Tract 4809.01, Los Angeles County, California",1,0,0,33.1785003317850033,0,0,33.1785003317850033,3014,7017.33762046573,21470,0.07109190887666928515,0.769302325581395
"060374808042","Block Group 2, Census Tract 4808.04, Los Angeles County, California",1,2,0,40.5022276225192386,81.0044552450384771,0,121.5066828675577157,2469,6929.2956333432,22887,0.06759443339960238569,0.903321470937129
"060372739021","Block Group 1, Census Tract 2739.02, Los Angeles County, California",2,28,38,250.3128911138923655,3504.3804755944931164,4755.9449311639549437,8510.6382978723404255,799,3237.489424224,68293,0.15775749674054758801,0.942477876106195
"060374820011","Block Group 1, Census Tract 4820.01, Los Angeles County, California",1,0,0,45.8926112895823772,0,0,45.8926112895823772,2179,945.3279938985891,40837,0.10217391304347826087,0.810111699000588
"060375323031","Block Group 1, Census Tract 5323.03, Los Angeles County, California",1,0,0,110.13215859030837,0,0,110.13215859030837,908,1132.47854823002,18661,0.04365620736698499318,0.6415770609319
"060372735022","Block Group 2, Census Tract 2735.02, Los Angeles County, California",7,59,94,1808.7855297157622739,15245.478036175711,24289.405684754522,41343.669250645995,387,1039.88231561122,44645,0.13953488372093023256,0.946927374301676
